FIPSCode,jurisdiction,households,median_household_income
17045,"Edgar County, Illinois",7590,51109
17047,"Edwards County, Illinois",2776,49766
17049,"Effingham County, Illinois",13555,56293
17051,"Fayette County, Illinois",7616,44432
17053,"Ford County, Illinois",5779,51120
17055,"Franklin County, Illinois",16135,41414
17057,"Fulton County, Illinois",14090,50180
17059,"Gallatin County, Illinois",2314,42500
17061,"Greene County, Illinois",5005,46052
17063,"Grundy County, Illinois",19398,74140
17065,"Hamilton County, Illinois",3376,56862
17067,"Hancock County, Illinois",7420,51549
17069,"Hardin County, Illinois",1438,43081
17071,"Henderson County, Illinois",2990,52712
17073,"Henry County, Illinois",20023,57250
17075,"Iroquois County, Illinois",11779,51825
17077,"Jackson County, Illinois",23728,37802
17079,"Jasper County, Illinois",3656,54951
17081,"Jefferson County, Illinois",15223,47617
17083,"Jersey County, Illinois",8665,56747
17085,"Jo Daviess County, Illinois",9758,57083
17087,"Johnson County, Illinois",4342,50923
17089,"Kane County, Illinois",178050,76912
17091,"Kankakee County, Illinois",40050,57981
17093,"Kendall County, Illinois",40407,91764
17095,"Knox County, Illinois",20830,43709
17097,"Lake County, Illinois",244672,86244
17099,"LaSalle County, Illinois",44644,56243
17101,"Lawrence County, Illinois",6144,45654
17103,"Lee County, Illinois",13699,57901
17105,"Livingston County, Illinois",14320,56200
17107,"Logan County, Illinois",10872,57899
17109,"McDonough County, Illinois",11292,43724
17111,"McHenry County, Illinois",111812,84803
17113,"McLean County, Illinois",66159,65813
17115,"Macon County, Illinois",44113,50444
17117,"Macoupin County, Illinois",18772,53778
17119,"Madison County, Illinois",107413,57890
17121,"Marion County, Illinois",15913,46102
17123,"Marshall County, Illinois",4893,55901
17125,"Mason County, Illinois",6027,45596
