pr2,pr3,State,FIPSCode,population
0.8357843137254902,0.02346041055718475,OK,40087,27066
0.8207343412526998,0.042105263157894736,OK,40089,24172
0.7838541666666666,0.03986710963455149,OK,40091,15969
0.8088235294117647,0.030303030303030304,OK,40093,5592
0.8013029315960912,0.04065040650406504,OK,40095,11478
0.8201438848920863,0.03333333333333333,OK,40097,30631
0.8064516129032258,0.022222222222222223,OK,40099,10408
0.8146167557932263,0.0525164113785558,OK,40101,51574
0.8189655172413793,0.021052631578947368,OK,40103,8660
0.821256038647343,0.08235294117647059,OK,40105,8003
0.8278688524590164,0.06435643564356436,OK,40107,9269
0.8569836653711304,0.018489740255621452,OK,40109,517474
0.7893175074183977,0.039473684210526314,OK,40111,29581
0.8402555910543131,0.05095057034220532,OK,40113,36640
0.8194774346793349,0.03768115942028986,OK,40115,23692
0.8041237113402062,0.03418803418803419,OK,40117,12402
0.7764334560757497,0.0508130081300813,OK,40119,60403
0.7978468899521531,0.05247376311844078,OK,40121,34184
0.7809647979139505,0.05676126878130217,OK,40123,28560
0.8375229920294298,0.022693997071742314,OK,40125,53504
0.7376237623762376,0.06711409395973154,OK,40127,8605
0.8444444444444444,0.07894736842105263,OK,40129,2740
0.812478093235191,0.031061259706643658,OK,40131,66820
0.7681498829039812,0,OK,40133,18744
0.7815344603381015,0.028286189683860232,OK,40135,31056
0.812375249500998,0.03194103194103194,OK,40137,33328
0.7661538461538462,0.03614457831325301,OK,40139,11559
0.8252427184466019,0.023529411764705882,OK,40141,5467
0.7978026408628163,0.045230574857864816,OK,40143,435914
0.830168776371308,0.054637865311308764,OK,40145,55586
0.8095611285266457,0.07163601161665054,OK,40147,38476
0.8600823045267489,0.04784688995215311,OK,40149,8400
0.8301886792452831,0.022727272727272728,OK,40151,7135
0.7657894736842106,0.044673539518900345,OK,40153,15082
0.8071479756359727,0.005881700144268117,OR,41001,12717
0.8581929713335961,0.009863232504741939,OR,41003,67481
0.8168170961285186,0.008262392449976999,OR,41005,293612
0.8056602260883509,0.005672206189670614,OR,41007,29004
0.7970447377642799,0.009635817395764638,OR,41009,37880
0.7925407925407926,0.005068836045056321,OR,41011,50003
0.8179190751445087,0.0069868294249919695,OR,41013,16918
0.8115978569177434,0.005980118049083567,OR,41015,18627
0.8312085754029949,0.012994428146718907,OR,41017,130246
0.7706269241533725,0.007681272585302075,OR,41019,85098
0.8345098039215686,0.0037593984962406013,OR,41021,1432
0.8623978201634878,0.004965019183028662,OR,41023,5830
0.8559144295302014,0.004655721636853712,OR,41025,5606
0.8336899579428909,0.014868572440038941,OR,41027,14539
0.7973502771393808,0.009949849190626617,OR,41029,159779
0.7667962243198223,0.008172131995448433,OR,41031,15957
0.757466392954109,0.008348996809022163,OR,41033,66097
0.7861916486608713,0.009299501470024287,OR,41035,49869
0.8453434471133586,0.005483549351944167,OR,41037,6196
0.8095599236656953,0.0070921985815602835,OR,41039,279411
0.8031336635205433,0.0037621688709614863,OR,41041,37055
0.7900470640674366,0.00891079251294305,OR,41043,89149
0.7629368160960113,0.018599056167298973,OR,41045,20445
0.7751324930664251,0.011144962448632563,OR,41047,216752
0.7705776173285198,0.004684937924572499,OR,41049,6566
0.8054579120911765,0.0065057041699449255,OR,41051,570793
0.7993482578430805,0.009431914123748643,OR,41053,56643
0.8452860596293312,0.009532888465204958,OR,41055,1399
0.8114810562571757,0.006578947368421052,OR,41057,19744
0.7328668450298416,0.014567537208649256,OR,41059,51259
0.7990990990990992,0.010146561443066516,OR,41061,19515
0.8543465745538285,0,OR,41063,5553
0.7860757061423173,0.008310926423857248,OR,41065,18469
0.8105190851795208,0.008840711458156018,OR,41067,377437
0.8519269776876268,0.0011904761904761906,OR,41069,1202
0.8097307388988139,0.01212458508079744,OR,41071,73047
0.943100358422939,0,PA,42001,78369
0.9495650094173219,0,PA,42003,961595
0.9343434343434344,0,PA,42005,54155
0.9548872180451128,0.007112014224028448,PA,42007,134972
0.9366776315789473,0,PA,42009,38649
0.9143131340828078,0.008247113510271405,PA,42011,306016
0.937584803256445,3.61794500723589e-4,PA,42013,99495
0.9283018867924528,0.0024390243902439024,PA,42015,47852
0.8990616282018767,0.0014104372355430183,PA,42017,474049
0.9374515879163439,0.012187564552778352,PA,42019,145675
0.933506325008109,3.4746351633078526e-4,PA,42021,110411
0.9464285714285714,0,PA,42023,3937
0.9212163096060816,0.007501875468867217,PA,42025,51117
0.9221540922420688,0.01011853136744724,PA,42027,126496
0.9290936826048077,0.0052652437298307195,PA,42029,367554
0.9320175438596491,0.03411764705882353,PA,42031,31394
0.950381679389313,0,PA,42033,64074
0.8743882544861338,0,PA,42035,31165
0.9331597222222222,0.04186046511627907,PA,42037,54050
0.9444168734491315,0.013662637940094587,PA,42039,67804
0.925425809421513,0.008456309069806002,PA,42041,187841
0.9306431273644389,0.013356562137049941,PA,42043,202403
0.8884726449699524,0.020994378074490512,PA,42045,414375
0.9485294117647058,0.017054263565891473,PA,42047,24881
0.9134347897234495,0.009315657470440702,PA,42049,212468
0.9388032638259293,0.008691453404152583,PA,42051,107353
0.9470198675496688,0,PA,42053,7125
0.9451876019575857,0.009319986192613048,PA,42055,115150
0.9377289377289377,0.01171875,PA,42057,11479
0.9476248477466505,0.006426735218508998,PA,42059,30346
0.9451073985680191,0,PA,42061,36870
0.9452941176470588,0,PA,42063,70723
0.86892177589852,0.0012165450121654502,PA,42065,35052
0.925601750547046,0.009456264775413711,PA,42067,18940
0.9379217273954116,0,PA,42069,164940
0.9329522772636545,0.009238549061557912,PA,42071,394587
0.9412568306010929,0.004837929366231253,PA,42073,70164
0.9160989602007888,0.0023483365949119373,PA,42075,103191
